temp,humidity,rainfall,wind,heat_stress,low_moisture,flood_risk,fungal_risk,cold_stress
30.801179708252022,64.95728575565586,299.0785402537144,33.220197204380284,0,0,1,0,0
19.650253521492136,98.5202674695427,281.1912330026197,46.97014933366848,0,0,1,0,0
26.187725776350696,75.7707158852421,23.646138969384502,0.30236044676885676,0,0,0,0,0
27.873044396007145,96.96005771515516,61.06913764174363,39.18627801796205,0,0,0,1,0
7.339329781014423,33.70189862176797,30.507203922838265,35.861022189714625,0,0,0,0,1
22.019944024244108,38.33709651222252,126.94084467575358,20.47379344633188,0,0,0,0,0
13.87388945885331,67.38647999353864,185.5317501339046,36.11632430242196,0,0,0,0,0
11.34371708720041,69.06766903801943,102.27279167521792,6.087451977010311,0,0,0,0,0
32.59132711440155,55.05991136716227,133.89843751648445,48.06662921023565,0,0,0,0,0
15.090121043914056,25.12614327495664,58.65656252147714,30.466244855789242,0,0,0,0,0
16.132483429623452,23.736615760406202,224.17585309803115,33.77906830562768,0,0,1,0,0
36.09292017965493,62.08952061652775,133.12819494878582,43.51203488012326,1,0,0,0,0
21.732053814683336,45.45274679257381,230.50399045898155,15.508458055441482,0,0,1,0,0
27.92174546815749,49.83203057254886,126.65158811749035,38.81048822876475,0,0,0,0,0
30.03178735226037,74.83324155910701,69.21047435629275,31.90344993069839,0,0,0,0,0
33.67327610797466,11.121092314727543,229.90462039037743,34.578868312578884,0,0,1,0,0
35.693390068065334,80.9876845750787,18.61383443029263,12.094475594902859,1,0,0,1,0
41.939348565781096,21.36784601054501,221.79519144274843,35.1009582994915,1,0,1,0,0
24.54051365431966,88.7554434701745,259.2417812347361,20.772093614041076,0,0,1,1,0
6.5229542841521,98.70568187876401,96.32052385270896,9.608738128125903,0,0,0,0,1
11.816309089899306,88.44572992568914,130.0432984594399,13.831502057208905,0,0,0,0,0
44.159132987258026,10.260825166222386,234.98682564917817,28.330552939694254,1,0,1,0,0
34.33857740612645,80.45537953031177,243.79975776401588,31.747694626999213,0,0,1,1,0
27.07231653601471,97.29937120528399,183.71788885119673,44.79209183573983,0,0,0,1,0
39.70756256579466,57.10061922562845,169.41619312503306,26.587119873478244,1,0,0,0,0
8.842628928388168,80.81124010331943,42.37412172584959,9.640525885380164,0,0,0,0,1
8.806118956518127,76.76322677096017,66.93618301703552,31.35245129000327,0,0,0,0,1
